,Emergence,SIA,summed_probabilities,numSIA
342,CAF-BAM-1,COD-2018-013,0,12
343,CAF-BAM-1,COD-2018-014,0.456025,13
344,CAF-BAM-1,COD-2018-015,0.22935,14
345,CAF-BAM-1,COD-2018-016,0,15
346,CAF-BAM-1,COD-2018-017,0,16
347,CAF-BAM-1,COD-2019-003,0,17
348,CAF-BAM-1,COD-2019-012,0,18
349,CAF-BAM-1,COD-2019-013,0,19
350,CAF-BAM-1,COD-2019-015,0,20
351,CAF-BAM-1,COD-2019-016,0,21
352,CAF-BAM-1,COG-2016-005,0,22
353,CAF-BAM-1,ETH-2016-002,0,23
354,CAF-BAM-1,ETH-2018-003,0,24
355,CAF-BAM-1,ETH-2018-004,0,25
356,CAF-BAM-1,KEN-2018-003,0,26
357,CAF-BAM-1,KEN-2018-004,0,27
358,CAF-BAM-1,MOZ-2017-002,0,28
359,CAF-BAM-1,MOZ-2019-001,0,29
360,CAF-BAM-1,MOZ-2019-002,0,30
361,CAF-BAM-1,MOZ-2019-003,0,31
362,CAF-BAM-1,MOZ-2019-004,0,32
363,CAF-BAM-1,NER-2016-001,0,33
364,CAF-BAM-1,NER-2017-012,0,34
365,CAF-BAM-1,NER-2018-005,0,35
366,CAF-BAM-1,NER-2018-006,0,36
367,CAF-BAM-1,NER-2018-008,0,37
368,CAF-BAM-1,NGA-2016-018,0,38
369,CAF-BAM-1,NGA-2016-019,0,39
370,CAF-BAM-1,NGA-2016-021,0,40
371,CAF-BAM-1,NGA-2016-024,0,41
372,CAF-BAM-1,NGA-2016-025,0,42
373,CAF-BAM-1,NGA-2016-034,0,43
374,CAF-BAM-1,NGA-2017-020,0,44
375,CAF-BAM-1,NGA-2017-021,0,45
376,CAF-BAM-1,NGA-2017-024,0,46
377,CAF-BAM-1,NGA-2018-012,0,47
378,CAF-BAM-1,NGA-2018-014,0,48
379,CAF-BAM-1,NGA-2018-017,0,49
380,CAF-BAM-1,NGA-2018-018,0,50
381,CAF-BAM-1,NGA-2018-019,0,51
382,CAF-BAM-1,NGA-2018-020,0,52
383,CAF-BAM-1,NGA-2018-022,0,53
